"title","barcode"
"CARNIVALE 1.4","00206827"
"CARNIVALE 1.5","00206828"
"CARNIVALE 1.6","00206829"
"CARNIVALE 2.1","00209585"
"CARNIVALE 2.2","00209588"
"CARNIVALE 2.3","00209590"
"CARNIVALE 2.4","00209592"
"CARNIVALE 2.5","00209594"
"CARNIVALE 2.6","00209597"
"CASE HISTORIES 1.1","00242004"
"CASE HISTORIES 1.2","00242005"
"CASTLE ROCK 1.1","00253878"
"CASTLE ROCK 1.2","00253879"
"CASTLE ROCK 1.3","00253880"
"CASUAL VACANCY","00250007"
"CASUAL VACANCY","00250008"
"CHAPPELLE'S SHOW 1.1","00193946"
"CHAPPELLE'S SHOW 1.1","00193947"
"CHAPPELLE'S SHOW 1.2","00193949"
"CHAPPELLE'S SHOW 2.1","00251403"
"CHAPPELLE'S SHOW 2.2","00251404"
"CHEF 1","00210106"
"CHEF 2","00219152"
"CHEF 3","00221344"
